code,name,grade,establishment_type,phone,establishment_date,bed_count,operation_facility,doctor_count,specialist_by_department,department_specialists,other_staff,consultation_hours,location,has_images,sido,sigungu,summary_hostpital,summary
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,백운요양병원,3등급,개인,032-504-0109,2016-12-19,"일반입원실: 상급 : 8 명 , 일반 : 172 명 | 물리치료실: 5 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: N | 간병형태: 공동간병,총 인원: 4 명 | 의사: 4 명 | 한의사: 1 명,산부인과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,산부인과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,사회복지사: 1 명 | 물리치료사: 12 명 | 작업치료사: 10 명,월요일: 08시 30분~17시 30분 | 화요일: 08시 30분~17시 30분 | 수요일: 08시 30분~17시 30분 | 목요일: 08시 30분~17시 30분 | 금요일: 08시 30분~17시 30분 | 토요일: 08시 30분~12시 00분 | 점심시간_월~금: 12:30~13:30,"인천광역시 부평구 마장로 68, (십정동, K빌딩, 지하1층,지상1층(일부),지상2~8층)",True,인천광역시,부평구,,"인천광역시 부평구에 위치한 백운요양병원은 2016년 12월 19일 설립된 3등급 개인 요양병원이다. 병상수는 상급 8명, 일반 172명으로 구성되며, 물리치료실은 5명 규모로 운영된다. 의료진은 총 4명의 의사와 1명의 한의사를 포함해 산부인과, 재활의학과, 가정의학과 전문의가 각각 1명씩 배치되어 있고, 물리치료사 12명, 작업치료사 10명, 사회복지사 1명 등 지원 인력이 함께한다. 공동간병 형태로 단독건물에 자리하며 자원봉사활동이 활성화되어 있고, 진료시간은 월~금 08시30분~17시30분, 토요일 08시30분~12시00분이며 점심시간은 월·금 12시30분~13시30분이다. 연락 및 확인 용이."
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz,백운요양병원,4등급,개인,062-681-0500,2016-12-19,"일반입원실: 상급 : 5 명 , 일반 : 294 명 | 물리치료실: 20 명",입지정보: 상가건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 7 명 | 의사: 7 명 | 한의사: 2 명,외과: 2 명 | 가정의학과: 2 명,외과: 2 명 | 가정의학과: 2 명,약사: 1 명 | 사회복지사: 1 명 | 물리치료사: 2 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 토요일: 09시 00분~12시 30분 | 점심시간_월~금: 12시00분~13시30분,"광주광역시 남구 독립로 8, (백운동)",True,광주광역시,남구,,"광주광역시 남구에 위치한 백운요양병원은 4등급 개인 설립 병원으로 2016년 12월 19일 설립되었습니다. 병상은 상급 5명, 일반 294명으로 총 299명 수용 가능하며, 물리치료실은 20명 규모로 운영됩니다. 의료진은 총 7명의 의사(외과 2명, 가정의학과 2명)와 한의사 2명, 약사 1명, 사회복지사 1명, 물리치료사 2명으로 구성됩니다. 상가건물에 입지해 공동간병 형태를 채택하고 자원봉사 및 종교활동이 활성화되어 있으며, 진료시간은 월~금 09:00~17:00, 토요일 09:00~12:30(점심 12:00~13:30)입니다. 사진 제공 가능하며 연락 및 확인 용이합니다."
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz,백재활요양병원,2등급,개인,061-373-0500,2012-07-23,"일반입원실: 상급 : 11 명 , 일반 : 167 명 | 물리치료실: 14 명",장례식장: N,총 인원: 5 명 | 의사: 5 명 | 한의사: 1 명,외과: 1 명 | 소아청소년과: 1 명 | 재활의학과: 1 명,외과: 1 명 | 소아청소년과: 1 명 | 재활의학과: 1 명,사회복지사: 2 명 | 물리치료사: 6 명 | 작업치료사: 1 명,월요일: 08시 30분~17시 30분 | 화요일: 08시 30분~17시 30분 | 수요일: 08시 30분~17시 30분 | 목요일: 08시 30분~17시 30분 | 금요일: 08시 30분~17시 30분 | 토요일: 08시 30분~12시 00분 | 점심시간_월~금: 12시30분~13시30분,"전라남도 화순군 화순읍 대교로 147-10, (화순읍)",True,전라남도,화순군,,"전라남도 화순군에 위치한 백재활요양병원은 2등급 개인 설립 병원으로 2012년 7월 23일 설립되었습니다. 상급입원실 11명, 일반입원실 167명, 물리치료실 14명을 보유하고 있으며, 재활의학과, 외과, 소아청소년과 전문의 각각 1명씩, 한의사 1명, 총 5명의 의사가 근무합니다. 사회복지사 2명, 물리치료사 6명, 작업치료사 1명이 지원하며, 장례식장은 없습니다. 진료는 월~금 08시30분~17시30분, 토요일 08시30분~12시00분이며, 월·금 점심시간은 12시30분~13시30분입니다. 연락 및 확인 용이."
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz,범서사랑요양병원,2등급,개인,052-211-9393,2014-02-27,"일반입원실: 상급 : 8 명 , 일반 : 171 명 | 물리치료실: 4 명",,총 인원: 5 명 | 의사: 5 명 | 한의사: 2 명,외과: 1 명 | 안과: 1 명 | 가정의학과: 1 명,외과: 1 명,사회복지사: 1 명 | 물리치료사: 2 명,,"울산광역시 울주군 범서읍 구영로 94, 엠프라자 3,7,8층",False,울산광역시,울주군,,"울산광역시 울주군에 위치한 범서사랑요양병원은 2등급 개인 설립 병원으로 2014년 2월 27일에 설립되었습니다. 병상은 상급 8명, 일반 171명으로 총 179석을 보유하고 있으며, 물리치료실은 4명을 운영합니다. 의료진은 총 5명의 의사와 2명의 한의사를 포함해 외과, 안과, 가정의학과 전문의 각각 1명씩 배치되어 있습니다. 지원 인력으로는 사회복지사 1명과 물리치료사 2명이 근무합니다. 전화 및 웹사이트는 연락 및 확인 용이합니다."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,베드로요양병원,2등급,개인,031-484-2500,2019-02-14,"일반입원실: 상급 : 12 명 , 일반 : 248 명 | 격리병실: 7 명 | 물리치료실: 9 명",입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동·개인간병,총 인원: 7 명 | 의사: 7 명 | 한의사: 1 명,내과: 2 명 | 외과: 1 명 | 신경외과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,내과: 2 명 | 외과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,약사: 1 명 | 사회복지사: 2 명 | 물리치료사: 12 명 | 작업치료사: 4 명,월요일: 09시 00분~18시 00분 | 화요일: 09시 00분~18시 00분 | 수요일: 09시 00분~18시 00분 | 목요일: 09시 00분~18시 00분 | 금요일: 09시 00분~18시 00분 | 토요일: 09시 00분~12시 30분 | 점심시간_월~금: 12시00분 ~ 13시00분,"경기도 시흥시 평안상가5길 19, 스마일요양병원 본관동 (정왕동)",True,경기도,시흥시,,"경기도 시흥시에 위치한 베드로요양병원은 2등급 개인 설립 병원으로 2019년 2월 14일 설립되었습니다. 병상은 상급 12명, 일반 248명, 격리 7명으로 구성되며 물리치료실은 9개가 운영됩니다. 의료진은 총 7명의 의사와 1명의 한의사를 포함해 내과 2명, 외과 1명, 신경외과 1명, 재활의학과 1명, 가정의학과 1명으로 전문의가 배치되어 있고, 약사 1명, 사회복지사 2명, 물리치료사 12명, 작업치료사 4명이 지원합니다. 단독건물에 자리한 병원은 자원봉사와 종교활동이 활성화되어 공동·개인간병 형태를 제공하며, 진료시간은 월~금 09:00~18:00, 토요일 09:00~12:30이며 점심시간은 12:00~13:00입니다. 연락 및 확인 용이."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQxIyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz,베스트안요양병원,2등급,개인,031-216-2279,2017-10-23,"일반입원실: 상급 : 4 명 , 일반 : 183 명 | 물리치료실: 5 명",입지정보: 상가건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동·개인간병,총 인원: 5 명 | 의사: 5 명 | 한의사: 1 명,내과: 1 명 | 외과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,내과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명,약사: 1 명 | 사회복지사: 2 명 | 물리치료사: 9 명 | 작업치료사: 8 명,월요일: 09시 00분~17시 30분 | 화요일: 09시 00분~17시 30분 | 수요일: 09시 00분~17시 30분 | 목요일: 09시 00분~17시 30분 | 금요일: 09시 00분~17시 30분 | 토요일: 09시 00분~13시 00분 | 점심시간_월~금: 12시 30분-13시 30분,"경기도 용인시 기흥구 흥덕2로105번길 6, 6~9층 (영덕동, 흥덕U프라자)",True,경기도,용인시,,"경기도 용인시 베스트안요양병원은 2등급 개인 설립 병원으로 2017년 10월 23일 설립되었습니다. 병상은 상급 4명, 일반 183명으로 구성되며 물리치료실은 5명 규모로 운영됩니다. 의료진은 총 5명의 의사와 1명의 한의사를 포함해 내과, 외과, 재활의학과, 가정의학과 전문의가 각각 1명씩 배치되어 있고, 약사 1명, 사회복지사 2명, 물리치료사 9명, 작업치료사 8명이 지원합니다. 상가건물 입지에 자원봉사와 종교활동이 활성화된 공동·개인간병 체계를 갖추고 있으며, 진료시간은 월~금 09:00~17:30, 토 09:00~13:00, 점심 12:30~13:30으로 운영됩니다. 연락 및 확인 용이."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,베스트요양병원,5등급,개인,031-884-8100,2009-02-03,일반입원실: 일반 : 474 명 | 격리병실: 1 명 | 물리치료실: 20 명,장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 10 명 | 의사: 10 명 | 한의사: 4 명,내과: 2 명 | 신경과: 1 명 | 신경외과: 1 명 | 재활의학과: 1 명,내과: 2 명 | 신경과: 1 명 | 신경외과: 1 명 | 재활의학과: 1 명,약사: 1 명 | 사회복지사: 2 명 | 물리치료사: 13 명 | 작업치료사: 6 명,,"경기도 여주시 가남읍 경충대로961번길 2-15, 2",True,경기도,여주시,,"경기도 여주에 위치한 베스트요양병원은 5등급 개인 설립 병원으로 2009년 2월 3일 개원하였다. 일반입원실 474명, 격리병실 1명, 물리치료실 20명으로 구성되어 있으며, 공동간병 형태를 채택하고 있다. 의료진은 총 10명의 의사(내과 2명, 신경과 1명, 신경외과 1명, 재활의학과 1명)과 4명의 한의사를 포함하고, 약사 1명, 사회복지사 2명, 물리치료사 13명, 작업치료사 6명 등 다양한 지원 인력이 배치되어 있다. 장례식장은 없으며, 단독건물에 자원봉사와 종교활동이 활성화되어 있고, 연락 및 확인 용이한 정보를 제공한다."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDgjJDgz,베스트힐스요양병원,1등급,개인,031-415-2300,2006-10-02,"일반입원실: 상급 : 19 명 , 일반 : 206 명 | 물리치료실: 13 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 7 명 | 의사: 7 명 | 한의사: 1 명,정신건강의학과: 1 명 | 외과: 1 명 | 재활의학과: 1 명 | 가정의학과: 2 명,정신건강의학과: 1 명 | 외과: 1 명 | 재활의학과: 1 명 | 가정의학과: 2 명,약사: 1 명 | 사회복지사: 1 명 | 물리치료사: 13 명 | 작업치료사: 8 명,월요일: 09시 00분~17시 30분 | 화요일: 09시 00분~17시 30분 | 수요일: 09시 00분~17시 30분 | 목요일: 09시 00분~17시 30분 | 금요일: 09시 00분~17시 30분 | 토요일: 09시 00분~17시 30분 | 일요일: 00시 00분~00시 00분,"경기도 안산시 상록구 선진안길 17, (사동, e-서울병원)",True,경기도,안산시,,"경기도 안산시에 위치한 베스트힐스요양병원은 2006년 10월 2일 설립된 1등급 개인 병원으로, 상급 입원실 19명과 일반 입원실 206명을 보유하고 있다. 물리치료실은 13명 규모이며, 재활과 물리치료가 집중적으로 운영되고, 물리치료사 13명은 전문 물리치료를 제공하고, 작업치료사 8명이 재활 프로그램을 담당한다. 의료진은 총 7명의 의사와 한의사를 포함해 정신건강의학과, 외과, 재활의학과, 가정의학과 전문의가 각각 1~2명씩 배치되어 있으며, 약사 1명과 사회복지사 1명이 지원하고, 각 전문의는 일일 진료를 수행하고 약사는 약물 관리와 처방을 담당한다. 진료는 월~금 매일 09시부터 17시 30분까지 진행되며, 토요일도 동일하고 일요일은 휴진, 자원봉사와 종교활동이 활성화된 공동간병 형태로 운영되며, 공동간병은 환자와 가족이 함께 참여하고 종교활동은 다양한 종교 단체와 협력한다. 입지는 단독건물이며 교통이 편리하고 주차 시설이 완비되어 있어 방문객이 편리하게 이용할 수 있고, 장례식장은 운영하지 않는다; 연락 및 확인 용이."
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,벤조인요양병원,2등급,개인,042-823-1785,2016-07-11,일반입원실: 일반 : 68 명,,총 인원: 2 명 | 의사: 2 명 | 한의사: 1 명,,,약사: 1 명,,"대전광역시 유성구 지족로364번길 19-0, 2층 (지족동)",True,대전광역시,유성구,,"대전광역시 유성구에 위치한 벤조인요양병원은 2등급 개인 설립 시설로 2016년 7월 11일에 설립되었습니다. 병원은 일반입원실 68석을 보유하고 있으며, 상급 입원실은 없습니다. 의료진은 전문의 2명, 한의사 1명, 약사 1명으로 구성되어 있어 다학제적 치료가 가능합니다. 운영 특성상 장례식장, 교통, 종교·자원봉사 등은 제공되지 않으며, 진료시간은 별도로 정해져 있지 않습니다. 연락 및 확인 용이."
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,벧엘요양병원,1등급,개인,063-255-5321,2007-10-25,"일반입원실: 상급 : 9 명 , 일반 : 182 명 | 물리치료실: 11 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: N | 종교활동: Y | 간병형태: 공동간병,총 인원: 5 명 | 의사: 5 명 | 한의사: 1 명,신경외과: 1 명 | 심장혈관흉부외과: 1 명 | 가정의학과: 2 명,신경외과: 1 명 | 가정의학과: 2 명,사회복지사: 1 명 | 물리치료사: 1 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 점심시간_월~금: 12:30~14:00 | 점심시간_토요일: 12:30~14:00,"전북특별자치도 전주시 덕진구 조경단로 77, (금암동)",True,전북특별자치도,전주시,,"전북특별자치도 전주시 소재 벧엘요양병원은 2007년 10월 25일 설립된 1등급 개인 병원으로, 상급 9명과 일반 182명의 병상을 보유하고 있다. 물리치료실은 11명 규모이며, 신경외과 1명, 심장혈관흉부외과 1명, 가정의학과 2명의 전문의가 상주하고, 한의사 1명과 사회복지사 1명, 물리치료사 1명이 지원한다. 공동간병 형태로 운영되며 종교활동이 가능하고 장례식장은 없고 단독건물에 위치해 있다. 진료는 월~금 09:00~17:00, 점심시간은 12:30~14:00이며, 연락 및 확인 용이."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEwMDIjNjEjJDEjJDAjJDgz,별내요양병원,2등급,개인,031-567-5100,2014-02-28,일반입원실: 일반 : 152 명 | 격리병실: 1 명 | 물리치료실: 7 명,입지정보: 상가건물 | 간병형태: 공동간병,총 인원: 4 명 | 의사: 4 명,산부인과: 1 명 | 재활의학과: 1 명 | 가정의학과: 1 명 | 응급의학과: 1 명,재활의학과: 1 명 | 가정의학과: 1 명,약사: 1 명 | 사회복지사: 1 명 | 물리치료사: 6 명 | 작업치료사: 2 명,월요일: 09시 00분~18시 00분 | 화요일: 09시 00분~18시 00분 | 수요일: 09시 00분~18시 00분 | 목요일: 09시 00분~18시 00분 | 금요일: 09시 00분~18시 00분 | 점심시간_월~금: 12시00분~13시00분 | 점심시간_토요일: 12시00분~13시00분 | 점심시간_일요일: 12시00분~13시00분,"경기도 남양주시 별내2로 74, 5층,6층 (별내동, 별내동 JS타워)",True,경기도,남양주시,,"경기도 남양주시 별내요양병원은 2등급 개인 설립 병원으로 2014년 2월 28일 설립되었습니다. 병상은 일반입원 152명, 격리 1명으로 구성되며 물리치료실 7개가 운영됩니다. 의료진은 총 4명의 의사(산부인과 1명, 재활의학과 1명, 가정의학과 1명, 응급의학과 1명)과 재활의학과·가정의학과 전문의 1명씩, 약사 1명, 사회복지사 1명, 물리치료사 6명, 작업치료사 2명이 배치되어 있습니다. 상가건물에 위치한 이 병원은 공동간병 형태를 채택하고 있으며 월~금 09:00~18:00 진료와 점심시간 12:00~13:00을 제공, 연락 및 확인 용이합니다."
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,보궁요양병원,1등급,개인,061-375-2900,,"일반입원실: 상급 : 26 명 , 일반 : 141 명 | 물리치료실: 13 명",입지정보: 단독건물 | 자원봉사활동: N | 종교활동: N | 간병형태: 개인간병,총 인원: 4 명 | 의사: 4 명 | 한의사: 1 명,외과: 2 명 | 가정의학과: 1 명,외과: 2 명 | 가정의학과: 1 명,사회복지사: 1 명 | 물리치료사: 1 명,월요일: 08시 30분~17시 30분 | 화요일: 08시 30분~17시 30분 | 수요일: 08시 30분~17시 30분 | 목요일: 08시 30분~17시 30분 | 금요일: 08시 30분~17시 30분 | 토요일: 08시 30분~17시 00분 | 점심시간_월~금: 12시30분~13시30분,"전라남도 화순군 화순읍 서양로 372, (화순읍)",True,전라남도,화순군,,"전라남도 화순군 보궁요양병원은 1등급 개인 설립 병원으로, 상급 병상 26개와 일반 병상 141개를 보유하고 있으며 물리치료실은 13명 규모로 운영됩니다. 의료진은 총 4명의 일반의와 1명의 한의사를 포함해 외과 전문의 2명, 가정의학과 전문의 1명으로 구성되며, 사회복지사 1명과 물리치료사 1명이 지원합니다. 간병은 개인간병 형태로 제공되며, 단독 건물에 위치해 자원봉사·종교활동은 없고, 입지·교통은 편리합니다. 진료는 월~금 08시30분~17시30분, 토요일 08시30분~17시00분이며 점심시간은 월·금 12시30분~13시30분에 운영됩니다. 연락 및 확인 용이."
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNjEjJDEjJDgjJDgz,보람요양병원,4등급,개인,051-514-0075,2005-05-18,"일반입원실: 상급 : 10 명 , 일반 : 64 명 | 물리치료실: 15 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: N | 종교활동: N | 간병형태: 공동간병,총 인원: 2 명 | 의사: 2 명,내과: 2 명,내과: 2 명,사회복지사: 2 명 | 물리치료사: 1 명,월요일: 08시 30분~18시 00분 | 화요일: 08시 30분~18시 00분 | 수요일: 08시 30분~18시 00분 | 목요일: 08시 30분~18시 00분 | 금요일: 08시 30분~18시 00분 | 토요일: 08시 30분~16시 00분 | 점심시간_월~금: 12시30분~13시30분 | 점심시간_토요일: 12시30분~1시30분 | 점심시간_일요일: 휴무,"부산광역시 금정구 중앙대로 1961, (구서동)",True,부산광역시,금정구,,"부산광역시 금정구에 위치한 보람요양병원은 4등급 개인 설립 병원으로 2005년 5월 18일 설립되었습니다. 병상은 상급 10명, 일반 64명으로 총 74명이며 물리치료실은 15명 규모로 운영됩니다. 의료진은 내과 전문의 2명과 총 2명의 의사, 사회복지사 2명, 물리치료사 1명으로 구성되어 있으며, 공동간병 형태를 채택하고 단독건물에 입지해 장례식장, 자원봉사, 종교활동은 제공하지 않습니다. 진료는 월~금 08시30분~18시, 토요일 08시30분~16시이며 점심시간은 월·금 12시30분~13시30분, 토요일 12시30분~13시30분, 일요일은 휴무이며 연락 및 확인 용이합니다."
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz,보령시립노인전문병원,5등급,공립,041-935-1166,2009-12-16,"일반입원실: 상급 : 10 명 , 일반 : 150 명 | 물리치료실: 5 명",,총 인원: 4 명 | 의사: 4 명 | 한의사: 2 명,외과: 1 명 | 비뇨의학과: 1 명 | 가정의학과: 1 명,가정의학과: 1 명,사회복지사: 1 명 | 물리치료사: 1 명 | 작업치료사: 1 명,월요일: 09시 00분~18시 00분 | 화요일: 09시 00분~18시 00분 | 수요일: 09시 00분~18시 00분 | 목요일: 09시 00분~18시 00분 | 금요일: 09시 00분~18시 00분 | 토요일: 09시 00분~12시 00분 | 점심시간_월~금: 12시30분~13시30분 | 점심시간_토요일: 12시30분~13시30분 | 점심시간_일요일: 12시30분~13시30분,"충청남도 보령시 청라면 질재로 373, (청라면)",True,충청남도,보령시,,"충청남도 보령시 보령시립노인전문병원은 5등급 공립 시설로 2009년 12월 16일 설립되었습니다. 병상은 상급 10명, 일반 150명으로 구성되며 물리치료실은 5명 규모로 운영됩니다. 의료진은 총 4명의 의사와 2명의 한의사를 포함해 외과 1명, 비뇨의학과 1명, 가정의학과 1명, 가정의학과 전문의 1명으로 구성되며, 사회복지사 1명, 물리치료사 1명, 작업치료사 1명이 지원합니다. 진료는 월~금 09:00~18:00, 토 09:00~12:00로 제공되며, 입지와 교통이 편리합니다. 연락 및 확인 용이."
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,보문효사랑요양병원,2등급,개인,02-929-3355,2006-09-11,"일반입원실: 상급 : 8 명 , 일반 : 176 명 | 물리치료실: 5 명",,총 인원: 6 명 | 의사: 6 명 | 한의사: 1 명,내과: 2 명 | 재활의학과: 1 명 | 가정의학과: 1 명,내과: 2 명 | 재활의학과: 1 명 | 가정의학과: 1 명,사회복지사: 2 명 | 물리치료사: 3 명 | 작업치료사: 1 명,,"서울특별시 성북구 보문로 46, (보문동7가)",True,서울특별시,성북구,,"서울특별시 성북구 보문효사랑요양병원은 2등급 개인 요양병원으로 2006년 9월 11일 설립되었습니다. 병상은 상급 8명, 일반 176명으로 구성되며, 물리치료실은 5명 규모로 운영됩니다. 의료진은 총 6명의 의사와 1명의 한의사를 포함해 내과 2명, 재활의학과 1명, 가정의학과 1명으로 전문의가 배치되어 있습니다. 지원 인력으로는 사회복지사 2명, 물리치료사 3명, 작업치료사 1명이 있으며, 입원 시설은 24시간 상급 간호사와 전문 의료진이 상주하고 물리치료실은 주 5회 운영됩니다. 환자 중심의 맞춤형 재활 프로그램을 제공하며, 연락 및 확인 용이합니다."
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,보바스기념병원,1등급,의료법인,1877-5661,2002-05-10,"일반입원실: 상급 : 143 명 , 일반 : 380 명 | 격리병실: 1 명 | 물리치료실: 20 명",입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동·개인간병,총 인원: 19 명 | 의사: 19 명,내과: 6 명 | 신경과: 6 명 | 외과: 1 명 | 영상의학과: 2 명 | 재활의학과: 4 명,내과: 6 명 | 신경과: 6 명 | 외과: 1 명 | 영상의학과: 2 명 | 재활의학과: 4 명,약사: 4 명 | 사회복지사: 5 명 | 물리치료사: 72 명 | 작업치료사: 59 명,월요일: 09시 00분~17시 00분 | 화요일: 09시 00분~17시 00분 | 수요일: 09시 00분~17시 00분 | 목요일: 09시 00분~17시 00분 | 금요일: 09시 00분~17시 00분 | 점심시간_월~금: 12시30분~13시30분,"경기도 성남시 분당구 대왕판교로 155-7, (금곡동, 보바스기념병원)",True,경기도,성남시,,"경기도 성남시에 위치한 보바스기념병원은 1등급 의료법인으로 2002년 5월 10일 설립되었습니다. 병상은 상급 143명, 일반 380명, 격리 1명으로 구성되며 물리치료실은 20명 규모입니다. 의료진은 총 19명의 의사(내과 6, 신경과 6, 외과 1, 영상의학과 2, 재활의학과 4)와 약사 4명, 사회복지사 5명, 물리치료사 72명, 작업치료사 59명이 배치되어 있습니다. 단독건물에 자리한 병원은 자원봉사와 종교활동을 지원하며 공동·개인간병 형태를 제공하고, 월~금 09:00~17:00(점심 12:30~13:30) 진료를 실시합니다. 연락 및 확인 용이."
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,보생요양병원,5등급,개인,051-634-1121,2010-05-19,일반입원실: 일반 : 72 명 | 물리치료실: 7 명,,총 인원: 2 명 | 의사: 2 명 | 한의사: 1 명,외과: 1 명,외과: 1 명,사회복지사: 1 명 | 물리치료사: 1 명,,"부산광역시 동구 범일로 124, (범일동)",True,부산광역시,동구,,"부산광역시 동구 보생요양병원은 5등급 개인 설립유형으로 2010년 5월 19일 설립되었으며, 지역사회와 협력하여 환자 중심의 치료를 제공하고 있습니다. 일반입원실은 72명 규모이며, 물리치료실은 7명의 물리치료사가 운영하고, 재활 프로그램이 체계적으로 구성되어 있습니다. 의료진은 총 2명의 의사와 1명의 한의사를 포함하고, 외과 전문의 1명, 사회복지사 1명, 물리치료사 1명이 배치되어 있으며, 환자 맞춤형 진료를 수행하고, 정기적인 진료 평가와 환자 만족도 조사를 통해 서비스 품질을 지속적으로 개선합니다. 병원은 개인 운영으로 전문 의료서비스와 재활치료를 제공하며, 입지와 교통은 편리하고, 환자 중심의 서비스를 제공하고 의료진과 지원 인력이 긴밀히 협력하며, 환자 가족과의 소통을 강화하고 지속적인 치료 계획을 수립합니다. 연락 및 확인 용이."
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQzNjEyMjIjNjEjJDEjJDAjJDgz,보성군립 노인전문요양병원,5등급,공립,061-859-9000,,"일반입원실: 상급 : 3 명 , 일반 : 165 명 | 물리치료실: 14 명",장례식장: N | 입지정보: 단독건물 | 자원봉사활동: Y | 종교활동: Y | 간병형태: 공동간병,총 인원: 4 명 | 의사: 4 명 | 한의사: 2 명,마취통증의학과: 2 명,마취통증의학과: 2 명,약사: 1 명 | 사회복지사: 2 명 | 물리치료사: 1 명 | 작업치료사: 1 명,월요일: 08시 00분~17시 00분 | 화요일: 08시 00분~17시 00분 | 수요일: 08시 00분~17시 00분 | 목요일: 08시 00분~17시 00분 | 금요일: 08시 00분~17시 00분 | 토요일: 00시 00분~00시 00분 | 일요일: 00시 00분~00시 00분 | 점심시간_월~금: 12:30 ~ 13:30,"전라남도 보성군 벌교읍 남하로 4-10, (벌교읍)",True,전라남도,보성군,,"전라남도 보성군에 위치한 보성군립 노인전문요양병원은 5등급 공립 요양병원으로, 상급 입원실 3명과 일반 입원실 165명을 보유하고 있다. 물리치료실은 14명 규모이며, 마취통증의학과 전문의 2명, 한의사 2명, 총 4명의 의사와 약사 1명, 사회복지사 2명, 물리치료사 1명, 작업치료사 1명이 상주한다. 공동간병 형태로 운영되며, 자원봉사와 종교활동이 활성화되어 있다. 진료는 월~금 08:00~17:00, 점심 12:30~13:30에 제공되며, 연락 및 확인 용이."
